#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITwarofthering.1;You Stand On The Brink;Sur le Pied de Guerre;;;;;;;;;;;;x
EVTDESCwarofthering.1;Sauron has recovered much of his former strength, and the fires of Mt. Doom burn brighter than ever. His eye is upon you, and soon his preparations for war will be complete. You must stand firm against the coming darkness.;Sauron a réuni la plupart de ses anciennes forces, et les feux de la Montagne du Destin brûlent plus fort que jamais. Son Oeil est sur vous, et bientôt, il aura fini ses préparatifs pour la Guerre... Vous devez tenir bon face à la tempête qui approche !;;;;;;;;;;;;x
EVTOPTAwarofthering.1;These are dark times indeed...;Cette période sombre est pour moi…;;;;;;;;;;;;x
EVTTITwarofthering.2;The Oath of Eorl;Le Serment d'Eorl;;;;;;;;;;;;x
EVTDESCwarofthering.2;Saruman now threatens war against the people of Rohan. They cannot be expected to honor the Oath of Eorl while their own borders are threatened. For now, Gondor stands alone against the darkness of the East.;Avec Saruman qui s'apprête à attaquer le Rohan à n'importe quel moment, vous ne pouvez pas esperer que les Rohirrim honoreront le Serment d'Eorl. Pour le moment, le Gondor doit se dresser seul contre les Ténèbres qui arrivent de l'Est.;;;;;;;;;;;;x
EVTOPTAwarofthering.2;Saruman has betrayed us!;Saruman nous a trahi!;;;;;;;;;;;;x
EVTTITwarofthering.3;The Oath of Eorl;Le Serment d'Eorl;;;;;;;;;;;;x
EVTDESCwarofthering.3;Despite Saruman's treachery and the invasion he threatens, your allies in Gondor can send no aid. All their armies must look to the defence of their eastern border, where Sauron is expected to be preparing great assault. Rohan stands alone.;Alors que Saruman vous menace à l'Ouest, vos alliés du Gondor ne peuvent envoyer aucune aide. Toutes leurs troupes sont tournées vers leurs frontières orientales, où Sauron semble préparer une attaque d'envergure. Le Rohan est seul.Though Saruman is threatening you, your allies in Gondor can send no aid. All their armies must look to their eastern border, where Sauron is seemingly preparing to launch a great assault. Rohan stands alone.;;;;;;;;;;;;x
EVTOPTAwarofthering.3;How did it come to this?;Ok…;;;;;;;;;;;;x
EVTTITwarofthering.4;A Storm is Coming…;Une tempête approche…;;;;;;;;;;;;x
EVTDESCwarofthering.4;Sauron has rebuilt much of his former strength, and his preparations for war are almost complete. Soon he will summon you to show your loyalty, fighting alongside the armies of Mordor, and helping to defeat its enemies in war.;Sauron a réuni la plupart de ses anciennes forces, et vous savez que ses préparatifs pour sa Grande Guerre sont presque terminés. Bientôt, il vous ordonnera de prouver votre loyauté, et de gagner l'amitié du Mordor en l'aidant à détruire ses ennemis au combat.;;;;;;;;;;;;x
EVTOPTAwarofthering.4;I do as the Master commands.;Déjà… ?;;;;;;;;;;;;x
#EVTTITwarofthering.3;Isengard is Rising;L'Isengard se lève!;;;;;;;;;;;;x
#EVTDESCwarofthering.3;Sauron has rebuilt much of his former strength, and you know that his preparations for war are almost complete. Your newly bred Uruk-Hai army is ready for war, and soon you will be ready to unleash it upon Rohan.;Sauron a réuni la plupart de ses anciennes forces, et vous savez que ses préparatifs pour sa Grande Guerre arrivent à leur fin. Votre propre armée d'Uruk-Hai est prête à se battre, et bientôt, vous pourrez lâcher votre puissance sur le Rohan…;;;;;;;;;;;;x
#EVTOPTAwarofthering.3;Nobody can resist the forces of darkness!;Personne ne pourra résister à mon Pouvoir!;;;;;;;;;;;;x
#EVTTITwarofthering.4;Isengard is Rising;L'Isengard se lève!;;;;;;;;;;;;x
#EVTDESCwarofthering.4;King Theoden of Rohan is under your spell, and now you are ready to test Rohan's defences. Send your Uruk-hai to secure the river crossings of the Isen and, if possible, kill the King's only son and heir: Theodred!;Théoden est sous votre enchantement, et il est temps de tester les défenses du Rohan. Envoyez vos Uruk-Hai prendre les Gués de l'Isen, et si possible, Tuez Théodred, le fils du Roi !;;;;;;;;;;;;x
#EVTOPTAwarofthering.4;To war!;A la Guerre !;;;;;;;;;;;;x
#EVTOPTBwarofthering.4;Actually, I have other more cunning plans...;En fait, j'ai des plans plus subtils…;;;;;;;;;;;;x
#EVTTITwarofthering.92;Saruman has betrayed us all!;Saruman nous a trahi!;;;;;;;;;;;;x
#EVTDESCwarofthering.92;Saruman has allied with Mordor. Word has reached you that even now his armies march to take the Gap of Rohan, while the brave men of the Riddermark prepare to hold defend their homeland.;Saruman s'est allié avec le Mordor, et vos éclaireurs vous informent qu'à l'instant même, ses armées sont en route pour prendre le Cap du Rohan, que nos braves soldats défendent.;;;;;;;;;;;;x
#EVTOPTAwarofthering.92;How can it be?;Comment se peut-il?;;;;;;;;;;;;x
#EVTTITwarofthering.5;Saruman is preparing for something...;Saruman prépare quelquechose…;;;;;;;;;;;;x
#EVTDESCwarofthering.5;Saruman the deceiver has poisoned the mind of the King, and now his armies of Uruk-hai have been seen marching towards the Fords of Isen. We must defend our lands, before they are taken from us by force!;Le traitre Saruman a empoisonné l'esprit du Roi, et maintenant ses armées ont été vues longeant l'Isen. Nous devons défendre notre terre, avant qu'elle ne nous soit prise par la force !;;;;;;;;;;;;x
#EVTOPTAwarofthering.5;We must hold the Fords of Isen!;Nous devons tenir les Gués de l'Isen!;;;;;;;;;;;;x
#EVTTITwarofthering.6;Send in the Reserves?;Envoyez l'Armée!;;;;;;;;;;;;x
#EVTDESCwarofthering.6;I shouldn't under-estimate Rohan... Theoden is my puppet, but his son Theodred is strong and may yet rally a strong defense. It might be wise to now send in the Uruk-hai reserves. I have kept them back for this very purpose!;Je ne devrais pas sous-estimer le Rohan… Théoden est ma marionnette, mais Théodred est fort, et devrait tenir une position difficile à prendre. Je vais envoyer quelques bataillons d'Uruk-Hai que j'avais gardé en réserve !;;;;;;;;;;;;x
#EVTOPTAwarofthering.6;Go forth, my fighting Uruk-Hai!;En avant, mes combattants Uruk-Hai!;;;;;;;;;;;;x
#EVTTITwarofthering.7;War!;Guerre !;;;;;;;;;;;;x
#EVTDESCwarofthering.7;For decades you have built up your forces, it is time to test how they fare against the Men of the South. Before the Great War can begin in earnest, you must take the east bank of the Anduin at Osgiliath to use as a forward base in the planned siege of Minas Tirith.;Depuis des décennies, vous avez réuni vos forces. Il est temps de voir comment ils s'en sortent face aux Hommes de l'Ouest. Avant que la Grande Guerre ne commence, vous devriez prendre la côte Est de la Rivière à Osgiliath pour en faire une base avancée.;;;;;;;;;;;;x
#EVTOPTAwarofthering.7;To war, vermin!;A la Guerre, vermines !;;;;;;;;;;;;x
#EVTTITwarofthering.8;Sauron stirs in the East;Sauron bouge à l'Est !;;;;;;;;;;;;x
#EVTDESCwarofthering.8;As you remember well, Boromir almost single-handedly recaptured Osgiliath last year - but now the enemy stirs again and aims to re-take it with a terrible host. It is time to raise the banners once more, and march to the defense of Gondor!;Comme vous vous en souvenez, Boromir a presque repris Osgiliath d'une seule main l'an passé. Mais l'ennemi bouge encore et semble vouloir reprendre la cité avec une énorme armée. Il est temps de lever les bannières une fois de plus, et de défendre le Gondor !;;;;;;;;;;;;x
#EVTOPTAwarofthering.8;Boromir, see to the defences!;Boromir, organise notre défense maintenant !;;;;;;;;;;;;x
#EVTOPTBwarofthering.8;Boromir, take Faramir with you.;Boromir, prends Faramir avec toi !;;;;;;;;;;;;x
#EVTTITwarofthering.93;Osgiliath must fall!;Osgiliath doit tomber !;;;;;;;;;;;;x
#EVTDESCwarofthering.93;Is it finally time to unleash your armies and take the east side of the river?;Est-ce le moment d'envoyer nos armées et de prendre la rive Est de la rivière?;;;;;;;;;;;;x
#EVTOPTAwarofthering.93;Send forth a mighty host!;Envoyez nos forces !;;;;;;;;;;;;x
#EVTOPTBwarofthering.93;Not yet...;Pas encore…;;;;;;;;;;;;x
#EVTTITwarofthering.9;The Battle for Osgiliath;Bataille pour Osgiliath;;;;;;;;;;;;x
#EVTDESCwarofthering.9;The cursed Men of Gondor still defy you and Osgiliath is not yet secure. Your orcs have proven feeble, but you have other hosts to command as well!;Ces maudits Hommes du Gondor continuent à vous défier, et Osgiliath n'est toujours pas entre vos mains. Vos orques se sont montrés faibles, mais vous avez d'autres armées à votre disposition!;;;;;;;;;;;;x
#EVTOPTAwarofthering.9;Yes, summon all armies to war!;Oui, envoyons-les au combat!;;;;;;;;;;;;x
#EVTOPTBwarofthering.9;No, Mordor can handle this alone.;Non, le Mordor peut gérer ce contretemps seul.;;;;;;;;;;;;x
#EVTTITwarofthering.10;Mordor commands you;Le Mordor vous envoie un ordre !;;;;;;;;;;;;x
#EVTDESCwarofthering.10;Lord Sauron the Great demands that you assemble your full might and come to his aid in the siege of Osgiliath. The Men of the South will fall!;Le Seigneur Sauron le Grand vous ordonne de rassembler votre armée et de venir prendre l'Est d'Osgiliath à ces maudits Hommes de l'Ouest !;;;;;;;;;;;;x
#EVTOPTAwarofthering.10;Our armies will depart immediately my Lord!;Nous viendrons, Monseigneur.;;;;;;;;;;;;x
#EVTOPTBwarofthering.10;We no longer wish to serve Mordor!;Nous ne servons plus le Mordor !;;;;;;;;;;;;x
EVTTITwarofthering.10;Gollum reveals the location of the Ring;Gollum a parlé de l'Anneau !;;;;;;;;;;;;x
EVTDESCwarofthering.10;The creature Gollum has cracked under torture, amidst the endless screams and inane babble, your orcs discerned two words. 'Shire!' 'Baggins!' It is a clue to the whereabouts of the one ring. Shall the Nine ride forth and seek it?;"La Créature appelée Gollum a finalement cédée à la torture dans les geôles de Barad-Dûr, et a hurlé les mots ""SACQUET!!!"" et ""COMTE!""! C'est un indice suffisant pour trouver l'Anneau. Les Neufs doivent-ils sortir et partir à sa recherche?";;;;;;;;;;;;x
EVTOPTAwarofthering.10;Yes, let them ride forth!;Oui, qu'ils chevauchent sans relâche !;;;;;;;;;;;;x
