#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
#ELVES-DUNEDAIN;x;x;x;x;x
EVTTITalliancesystem.1;A Call for the Dúnedain;Un Appel aux Dunedains;;;;;;x
EVTDESCalliancesystem.1;The Dúnedain of the North have always been true friends and allies of the Noldor. Shall we call for aid in this hour of need?;Les Dunedains du Nord ont toujours été des alliés fidèles de Fondcombe. Devons-nous les appeler à l'aide, en cette heure de besoin?;;;;;;x
EVTOPTAalliancesystem.1;Yes, send swift riders immediately!;Oui, envoyez les cavaliers tout de suite!;;;;;;x
EVTOPTBalliancesystem.1;No, we can handle this alone.;Non, nous pouvons nous débrouiller seuls.;;;;;;x
EVTTITalliancesystem.2;War in Imladris!;Guerre à Fondcombe !;;;;;;x
EVTDESCalliancesystem.2;An Elvish rider from Rivendell reaches your camp, asking that you send aid with all haste in this hour of need! Imladris is under attack!;Un cavalier Elfe arrive d'Imladris, et demande à ce que vous envoyez de l'aide en toute urgence à Fondcombe!;;;;;;x
EVTOPTAalliancesystem.2;Gather the men! We're leaving at dawn!;Rassemblez les Hommes !;;;;;;x
EVTOPTBalliancesystem.2;No, let them fight their own battles.;;;;;;;x
EVTTITalliancesystem.3;The Dúnedain Respond;L'aide des Dunedains;;;;;;x
EVTDESCalliancesystem.3;An answer returns from the Dúnedain camps, they will answer your call to arms and honour your ancient friendship.;Une réponse arrive des camps des Dunedains, et elle est positive. Ils prendront les armes, et honoreront les anciennes alliances.;;;;;;x
EVTOPTAalliancesystem.3;Perhaps there is still strength in men...;Il y a encore de la Force chez les Hommes…;;;;;;x
EVTTITalliancesystem.4;Dangerous Times;Temps Dangereux…;;;;;;x
EVTDESCalliancesystem.4;Enough time has passed that you may now, if needed, ask the Dúnedain for aid once again. One should not reject a helping hand in these dangerous times, but we don't want to appear weak and incapable of defending our own borders.;Assez de temps s'est écoulé, et vous pouvez maintenant de nouveau faire appel aux Dunedain si vous en ressentez le besoin…;;;;;;x
EVTOPTAalliancesystem.4;They are precious allies.;Ils sont de précieux alliés.;;;;;;x
#EREBOR-DALE;x;x;x;x;x
EVTTITalliancesystem.5;A Call for Erebor;A Call for Erebor;;;;;;x
EVTDESCalliancesystem.5;The Dwarves of Erebor are our closest allies, and the fates of our realms are entwined. Shall we send out the call for their aid, in this hour of need?;The Dwarves of Erebor are our closest allies, and the fates of our realms are entwined. Shall we send out the call for their aid, in this hour of need?;;;;;;x
