population4desc;This province is occupied by enemies and many precious lives have been lost.;;;;;;;;;;;;x
population4A;Our enemies will pay for this...;;;;;;;;;;;;x
population5desc;Though the Men of the West replenish their numbers slowly, during times of plenty you can expend gold and influence to encourage young Dúnedain families to have more children. You should see results within twenty years.;;;;;;;;;;;;x
population5A;No, not right now;;;;;;;;;;;;x
population5B;Yes, make efforts to increase population in a random province;;;;;;;;;;;;x
population5C;Yes, make the effort where my steward is located;;;;;;;;;;;;x
population6desc;The population in [Root.GetName], with the expenditure of a great amount of wealth and influence, has grown greatly in the last 20 years.;;;;;;;;;;;;x
population6A;Good tidings!;;;;;;;;;;;;x
increase_pop_dunedain;Increase the Dúnedain Population;;;;;;;;;;;;x
increase_pop_dunedain_desc;With money and time, you can increase the Dúnedain population in this province, booting levy size and wealth.;;;;;;;;;;;;x
increase_pop_dwarves;Increase the Dwarven Population;;;;;;;;;;;;x
increase_pop_dwarves_desc;With money and time, you can increase the Dwarven population in this province, booting levy size and wealth;;;;;;;;;;;;x
increase_pop_elves;Increase the Elven Population;;;;;;;;;;;;x
increase_pop_elves_desc;With money and time, you can increase the Elven population in this province, booting levy size and wealth;;;;;;;;;;;;x
increase_pop_other;Increase the Population;;;;;;;;;;;;x
increase_pop_other_desc;With money and time, you can increase the population in this province, booting levy size and wealth;;;;;;;;;;;;x
#lightly_populated_by_dunedain;Lightly populated by Dúnedain;;;;;;;;;;;;x
#lightly_populated_by_dunedain_desc;The Dúnedain are waning in Middle-Earth, and there are few of them left in this province.;;;;;;;;;;;;x
#populated_by_dunedain;Populated by Dúnedain;;;;;;;;;;;;x
#populated_by_dunedain_desc;This province is well settled by Dúnedain.;;;;;;;;;;;;x
#densely_populated_by_dunedain;Densely populated by Dúnedain;;;;;;;;;;;;x
#densely_populated_by_dunedain_desc;In this province there are still many men of high blood, and though there may be other cities more crowded and populous, the natural gifts of the Dúnedain ensure that this land is both wealthy and well protected.;;;;;;;;;;;;x
#lightly_populated_by_elves;Lightly populated by Elves;;;;;;;;;;;;x
#lightly_populated_by_elves_desc;The Elves are leaving Middle-Earth, and there are few of them left in this province.;;;;;;;;;;;;x
#populated_by_elves;Populated by Elves;;;;;;;;;;;;x
#populated_by_elves_desc;This province is well settled by Elves.;;;;;;;;;;;;x
#densely_populated_by_elves;Densely populated by Elves;;;;;;;;;;;;x
#densely_populated_by_elves_desc;Though not 'densely populated' in the human or orcish sense, there are a great many elves in this province and the lands are both wealthy and well guarded..;;;;;;;;;;;;x
#lightly_populated_by_dwarves;Lightly populated by dwarves;;;;;;;;;;;;x
#lightly_populated_by_dwarves_desc;Dwarves still hold this province, but their numbers are few.;;;;;;;;;;;;x
#populated_by_dwarves;Populated by dwarves;;;;;;;;;;;;x
#populated_by_dwarves_desc;This province is well settled by dwarves. Though not a numerous people, here at least they have the strength of numbers to protect their lands and maintain their great halls.;;;;;;;;;;;;x
#densely_populated_by_dwarves;Densely populated by dwarves;;;;;;;;;;;;x
#densely_populated_by_dwarves_desc;The dwarves here are prospering, and though they will never reach the numbers that men and orcs can field, this land is well guarded and the population is steadily increasing.;;;;;;;;;;;;x
population12desc;Though Elves replenish their numbers slowly, during times of plenty you can expend gold and influence to encourage your people to have more children. You should see results within twenty years. NOTE: There is no point doing so in a densely populated province.;;;;;;;;;;;;x
population18desc;Though Dwarves replenish their numbers slowly, during times of plenty you can expend gold and influence to encourage your people to have more children. You should see results within twenty years. NOTE: There is no point doing so in a densely populated province..;;;;;;;;;;;;x
population24desc;During times of plenty you can expend gold and influence to encourage your people to have more children. You should see results within twenty years. NOTE: There is no point doing so in a densely populated province..;;;;;;;;;;;;x
### BR style purge localizations --------------------------------------------------;;;;;;;x
being_purged_ofevil;Being Purged;;;;;;x
being_purged_ofgood;Being Purged;;;;;;x
being_purged_ofgoodeo;Being Purged;;;;;;x
purge0title;Purging Provinces of Evil;;;;;;;;x
purge0desc;There are hostile creatures in your realm, they must be purged and the threat removed. It might take a decade to destroy them fully, so it's time to send in the troops...;;;;;;;;;;;;x
purge0A;Yes, they must be destroyed!;;;;;;;;;;;;x
purge1title;Provinces have been purged.;;;;;;x
purge1desc;At least one of your provinces has been purged of enemies, and now the time will come to settle the new wilderness with your people.;;;;;;;;;;;;x
purge1opt;Good;;;;;;x
purge3title;Purging Provinces of Enemies;;;;;;x
